PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,NAME
1626152,2017-18,20,1612709890,AUS,25.0,44,30,30.6,5.4,11.9,0.456,1.6,4.3,0.368,2.2,2.8,0.802,0.5,2.3,2.8,2.8,0.8,0.1,1.6,1.9,14.7,Olivier Hanlan
1628605,2017-18,20,1612709926,MHU,24.0,47,13,21.4,3.2,7.6,0.421,1.7,3.8,0.441,1.2,1.3,0.905,0.3,1.6,1.9,1.8,0.6,0.1,0.8,1.4,9.3,Dusty Hannahs
1628667,2017-18,20,1612709908,RGV,25.0,31,0,11.7,1.0,1.9,0.508,0.0,0.1,0.0,0.1,0.3,0.4,0.7,1.0,1.7,1.8,1.1,0.3,0.8,0.7,2.1,Kevin Hardy
1628854,2017-18,20,1612709927,WIS,24.0,12,0,6.9,0.5,1.5,0.333,0.5,0.8,0.6,0.8,0.8,0.9,0.1,0.6,0.7,0.4,0.3,0.0,0.6,0.9,2.3,Eron Harris
1628523,2017-18,20,1612709923,WCB,24.0,40,25,25.5,5.7,10.8,0.53,0.0,0.3,0.091,1.5,2.6,0.577,2.0,3.9,5.9,2.0,0.9,0.7,1.5,3.6,12.9,Tyler Harris
1628392,2017-18,20,1612709908,RGV,20.0,38,11,18.7,3.6,6.3,0.564,0.3,0.9,0.343,2.0,2.9,0.685,2.8,3.8,6.6,1.1,0.5,1.1,1.4,3.0,9.5,Isaiah Hartenstein
1628735,2017-18,20,1612709890,AUS,23.0,31,1,6.8,0.9,2.1,0.431,0.3,0.6,0.4,0.7,0.8,0.808,0.0,0.7,0.7,0.5,0.3,0.1,0.3,1.0,2.7,Tucker Haymond
203687,2017-18,20,0,TOT,26.0,26,21,32.6,5.3,12.6,0.421,2.3,6.3,0.368,1.8,2.2,0.842,0.7,4.2,4.8,1.6,0.7,0.2,1.2,2.1,14.8,Reggie Hearn
1628516,2017-18,20,1612709922,GBO,24.0,42,22,27.5,3.8,9.4,0.403,2.3,5.8,0.388,1.4,1.8,0.789,0.6,3.2,3.8,2.0,0.9,0.3,1.7,2.0,11.3,Terry Henderson
203542,2017-18,20,1612709919,WES,28.0,37,0,10.2,1.7,3.5,0.492,0.0,0.0,0.0,0.6,1.5,0.436,1.5,1.9,3.4,0.3,0.3,0.6,0.8,1.8,4.1,Jordan Henriquez
1627988,2017-18,20,0,TOT,25.0,38,1,28.3,5.9,11.9,0.501,2.1,5.2,0.394,2.4,3.2,0.754,0.8,4.3,5.2,2.2,1.6,0.6,2.4,2.8,16.4,Myke Henry
1628176,2017-18,20,1612709924,ACC,26.0,49,41,33.8,5.1,13.3,0.384,2.2,6.6,0.332,3.1,3.6,0.86,0.8,4.1,4.9,1.6,1.0,0.5,1.4,1.8,15.6,LaDontae Henton
1628246,2017-18,20,1612709905,SBL,26.0,39,19,20.0,1.9,3.9,0.497,1.0,2.4,0.426,0.3,0.4,0.733,0.9,2.5,3.4,1.1,0.7,0.1,0.7,1.4,5.2,Robert Heyer
1628439,2017-18,20,1612709919,WES,23.0,37,36,29.5,6.1,10.6,0.575,0.1,0.2,0.333,3.3,4.1,0.809,2.7,5.3,8.0,1.5,0.8,2.0,2.1,3.9,15.6,Isaiah Hicks
1627208,2017-18,20,1612709910,FWN,26.0,49,34,29.5,4.1,8.6,0.481,1.1,3.2,0.338,3.3,4.1,0.805,1.9,3.5,5.5,1.4,1.1,0.3,1.1,2.0,12.7,Stephan Hicks
1626199,2017-18,20,1612709890,AUS,25.0,36,31,28.4,7.3,15.3,0.475,2.2,5.5,0.402,3.9,4.7,0.845,0.4,4.1,4.5,3.8,1.1,0.4,3.2,2.0,20.7,Darrun Hilliard
1628113,2017-18,20,1612709905,SBL,24.0,50,45,25.4,3.4,7.2,0.474,0.7,2.0,0.34,1.0,1.4,0.722,1.4,3.1,4.5,1.9,1.0,0.1,1.5,2.1,8.6,Demarcus Holland
204066,2017-18,20,1612709893,CTN,29.0,23,23,34.2,6.5,15.6,0.419,3.0,8.3,0.361,2.7,3.6,0.759,0.6,3.3,3.9,2.9,1.6,0.3,2.4,2.7,18.8,John Holland
1628753,2017-18,20,1612709910,FWN,22.0,41,8,17.6,1.4,4.0,0.355,0.4,1.5,0.238,0.6,0.8,0.735,0.4,2.0,2.4,4.7,2.2,0.2,2.0,1.8,3.9,Tra-Deon Hollins
204112,2017-18,20,1612709900,NAS,27.0,48,6,25.2,3.5,7.3,0.481,0.9,2.6,0.352,1.9,2.6,0.74,1.8,3.6,5.4,1.5,1.5,1.1,1.3,2.3,9.9,Rahlir Hollis-Jefferson
1628526,2017-18,20,1612709913,ERI,24.0,49,21,21.6,3.4,7.5,0.451,1.0,2.9,0.336,0.9,1.4,0.643,1.3,2.5,3.8,1.4,0.6,0.6,1.4,2.2,8.6,Jeremy Hollowell
1628527,2017-18,20,1612709902,SCW,24.0,43,10,19.6,2.4,5.4,0.436,1.0,2.6,0.389,0.4,0.7,0.621,0.3,1.6,1.9,1.7,0.4,0.0,0.7,1.0,6.2,Avry Holmes
1626261,2017-18,20,1612709905,SBL,25.0,28,4,11.4,1.6,3.5,0.464,0.0,0.1,0.0,1.7,2.4,0.706,2.7,2.8,5.5,0.2,0.1,0.8,0.9,2.4,4.9,Michael Holyfield
1626281,2017-18,20,1612709917,GRD,26.0,34,6,18.0,1.8,3.5,0.513,0.1,0.5,0.167,0.7,1.0,0.706,2.0,4.7,6.7,1.3,0.4,0.5,1.0,2.1,4.4,Jon Horford
1628599,2017-18,20,1612709910,FWN,24.0,32,0,9.8,0.8,2.7,0.306,0.7,2.1,0.318,0.4,0.6,0.7,0.3,0.5,0.8,0.4,0.5,0.0,0.4,1.2,2.7,Je'Lon Hornbeak
1627867,2017-18,20,1612709918,TEX,26.0,32,18,24.5,3.9,8.8,0.447,1.3,3.5,0.369,1.0,1.3,0.786,0.4,2.6,3.1,1.7,1.1,0.0,0.7,0.9,10.2,Keith Hornsby
1627863,2017-18,20,0,TOT,25.0,35,23,32.3,5.9,12.7,0.463,2.8,7.2,0.387,3.4,4.2,0.81,0.9,4.7,5.6,2.7,1.1,0.5,2.3,2.0,18.0,Danuel House
1628674,2017-18,20,1612709922,GBO,24.0,33,2,13.5,1.5,3.8,0.386,0.9,2.8,0.315,1.2,1.3,0.864,0.7,1.9,2.6,0.3,0.4,0.1,0.3,1.8,5.0,Cole Huff
1626154,2017-18,20,1612709908,RGV,24.0,45,28,30.8,6.6,15.0,0.444,3.7,9.7,0.377,3.4,4.3,0.803,0.4,3.1,3.4,3.2,1.5,0.5,1.9,2.4,20.4,RJ Hunter
1627813,2017-18,20,1612709921,LIN,24.0,32,15,11.5,1.4,2.4,0.571,0.0,0.0,0.0,0.3,1.2,0.216,1.1,1.8,2.9,0.2,0.3,1.4,0.8,2.4,3.0,Prince Ibeh
1628528,2017-18,20,1612709924,ACC,23.0,50,14,24.7,4.2,10.2,0.413,0.6,2.2,0.266,3.2,4.5,0.705,0.8,3.2,4.1,3.9,0.8,0.1,2.4,1.7,12.2,Ike Iroegbu
1628860,2017-18,20,1612709919,WES,23.0,12,6,30.6,3.9,7.4,0.528,0.3,0.5,0.5,0.8,1.3,0.6,0.8,5.1,5.9,1.5,1.1,0.2,1.3,1.5,8.8,Zak Irvin
1628663,2017-18,20,0,TOT,22.0,35,0,11.3,1.4,3.4,0.424,0.2,0.9,0.182,0.3,0.8,0.407,0.7,1.5,2.1,0.9,0.2,0.4,0.5,0.9,3.3,Kuran Iverson
1627292,2017-18,20,1612709904,SXF,25.0,45,28,23.3,4.9,8.1,0.612,0.0,0.0,0.0,2.1,3.1,0.667,2.2,5.0,7.2,1.1,0.9,1.1,1.5,2.5,12.0,Kadeem Jack
1627743,2017-18,20,0,TOT,23.0,26,15,28.8,5.3,11.4,0.465,1.4,3.9,0.353,2.7,3.4,0.807,0.8,2.8,3.7,4.5,1.2,0.3,2.2,2.2,14.7,Demetrius Jackson
